# Radius,Intensity
0.000000000000000000e+00,7.656815114709851855e+01
1.527272727272727337e+01,9.661136363636363455e+01
3.054545454545454675e+01,9.756332236842105488e+01
4.581818181818182012e+01,9.455691530691530033e+01
6.109090909090909349e+01,8.910729483282675290e+01
7.636363636363637397e+01,8.193061072492551489e+01
9.163636363636364024e+01,8.559151973131821478e+01
1.069090909090909065e+02,9.871444161513277038e+01
1.221818181818181870e+02,1.079611627162075536e+02
1.374545454545454675e+02,1.133833333333333400e+02
1.527272727272727479e+02,1.060990639625585032e+02
1.680000000000000000e+02,9.797917159763314032e+01
1.832727272727272805e+02,9.631928040244969225e+01
1.985454545454545610e+02,1.009768181818181887e+02
2.138181818181818130e+02,1.034702672186676722e+02
2.290909090909090935e+02,1.094120729129975302e+02
2.443636363636363740e+02,1.191601601188511097e+02
2.596363636363636260e+02,1.269376367614879655e+02
2.749090909090909349e+02,1.176503166887612366e+02
2.901818181818181870e+02,1.058593465152152504e+02
3.054545454545454959e+02,9.798397180101090953e+01
3.207272727272727479e+02,9.404039537248920055e+01
3.360000000000000000e+02,9.372355681955706075e+01
3.512727272727273089e+02,9.687778875203346729e+01
3.665454545454545610e+02,1.066325677333036026e+02
3.818181818181818130e+02,1.121597913322632394e+02
3.970909090909091219e+02,1.081311458547623943e+02
4.123636363636363740e+02,9.828473187686196866e+01
4.276363636363636260e+02,9.176614293926039068e+01
4.429090909090909349e+02,8.755263888888889312e+01
4.581818181818181870e+02,8.705997587562544027e+01
4.734545454545454959e+02,9.288273799202357850e+01
4.887272727272727479e+02,9.755873189626136366e+01
5.040000000000000000e+02,9.008592418215764042e+01
5.192727272727272521e+02,8.271428288587947009e+01
5.345454545454546178e+02,7.959799323389205483e+01
5.498181818181818699e+02,7.916272333109067461e+01
5.650909090909091219e+02,8.202857194820310838e+01
5.803636363636363740e+02,9.099027009783071662e+01
5.956363636363636260e+02,9.778127812781278294e+01
6.109090909090909918e+02,9.405510924369747272e+01
6.261818181818182438e+02,8.663223684210525732e+01
6.414545454545454959e+02,8.201439773749839901e+01
6.567272727272727479e+02,7.917458223394898198e+01
6.720000000000000000e+02,8.218059299191374123e+01
6.872727272727272521e+02,8.833642548855053178e+01
7.025454545454546178e+02,8.561365504285546990e+01
7.178181818181818699e+02,7.813845977143513721e+01
7.330909090909091219e+02,7.419433978180181555e+01
7.483636363636363740e+02,7.361693526132788179e+01
7.636363636363636260e+02,7.630083829096808756e+01
7.789090909090909918e+02,8.458597764475287306e+01
7.941818181818182438e+02,9.054557982319292364e+01
8.094545454545454959e+02,8.459244114949557058e+01
8.247272727272727479e+02,7.782630839480154350e+01
8.400000000000000000e+02,7.381601805957697593e+01
8.552727272727272521e+02,7.305766441005802392e+01
8.705454545454546178e+02,7.780589108616901228e+01
8.858181818181818699e+02,7.719178800517060779e+01
9.010909090909091219e+02,7.349272598957495006e+01
9.163636363636363740e+02,7.137251151873424249e+01
9.316363636363636260e+02,6.886618568776245297e+01
9.469090909090909918e+02,6.570269294905298807e+01
9.621818181818182438e+02,6.257018578041424917e+01
9.774545454545454959e+02,5.961161007395661926e+01
9.927272727272727479e+02,5.652244787235354551e+01
1.008000000000000000e+03,5.359058742868336367e+01
1.023272727272727366e+03,5.077510594384671094e+01
1.038545454545454504e+03,4.844912054964130022e+01
1.053818181818181756e+03,4.600638611231831732e+01
1.069090909090909236e+03,4.392550424851092572e+01
1.084363636363636488e+03,4.223467258178001771e+01
1.099636363636363740e+03,3.966116575116563325e+01
1.114909090909090992e+03,3.722138660399529897e+01
1.130181818181818244e+03,3.472510258238739311e+01
1.145454545454545496e+03,3.255662315056570577e+01
1.160727272727272748e+03,3.056334969679468827e+01
1.176000000000000000e+03,2.864798380640882058e+01
1.191272727272727252e+03,2.655940610956254488e+01
1.206545454545454504e+03,2.475114503816793743e+01
1.221818181818181984e+03,2.296649704088952504e+01
1.237090909090909236e+03,2.142698743139590434e+01
1.252363636363636488e+03,1.974022194930350338e+01
1.267636363636363740e+03,1.772480402827709867e+01
1.282909090909090992e+03,1.606749362342220522e+01
1.298181818181818244e+03,1.475398672714871928e+01
1.313454545454545496e+03,1.346105034470149242e+01
1.328727272727272748e+03,1.206088472107868803e+01
1.344000000000000000e+03,1.093784150112245257e+01
1.359272727272727252e+03,9.993835291638125895e+00
1.374545454545454504e+03,8.927105441999058755e+00
1.389818181818181984e+03,7.985772399908677599e+00
1.405090909090909236e+03,7.164637101347659076e+00
1.420363636363636488e+03,6.414696577214878737e+00
1.435636363636363740e+03,5.648377148789349711e+00
1.450909090909090992e+03,5.396152187404672063e+00
1.466181818181818244e+03,5.020711734471643872e+00
1.481454545454545496e+03,4.568210068365444521e+00
1.496727272727272748e+03,4.096516314995383823e+00
